"SYMBOL 
","SERIES 
","BOND TYPE 
","COUPON RATE 
","FACE VALUE 
","LTP 
","%CHNG 
","VOLUME 
(Shares)","VALUE 
 (₹ Crores)"," 
","CREDIT RATING 
","MATURITY DATE 
"
"87LTF27","NH","Regular","8.70","1,000.00","1,038.00","-","-","-",,"FITCH AA+","15-Apr-2027"
"835SCL23B","YM",,"-","-","960.00","-","-","-",,,"-"
"925SCL25","N5",,"-","-","972.00","-","-","-",,,"-"
"925SCL27","YR",,"-","-","1,029.30","-","-","-",,,"-"
"866IIFC34B","N3","Regular","-","-","1,255.00","-","-","-",,,"22-Jan-2034"
"1003SCL30A","NV",,"-","-","872.00","11.01","-","-",,,"-"
"925AEL26","N1","Regular","9.25","1,000.00","1,039.80","-","-","-",,"CARE A+","12-Sep-2026"
"SCLZC25D","NJ",,"-","-","1,083.00","-","-","-",,,"-"
"948SCL26B","Y8",,"-","-","973.28","-","-","-",,,"-"
"863NHB29","N2","Regular","8.63","5,000.00","5,559.10","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA STABLE","13-Jan-2029"
"940CAGL27","NB","Regular","9.40","1,000.00","1,000.00","-","-","-",,"AA-/Stable","07-Nov-2027"
"CAGL25","N8","Regular","-","1,000.00","1,148.80","-","-","-",,"AA-/Stable","07-Sep-2025"
"965SCL26F","N1","Regular","9.65","1,000.00","1,000.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","25-Sep-2026"
"820IIFL27","N9","Regular","8.20","1,000.00","960.51","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2027"
"876HUDCO28","ND","Regular","-","-","1,132.61","-","-","-",,,"25-Oct-2028"
"891NTPC33","N6","Regular","8.91","1,000.00","1,254.01","-","-","-",,"CRISIL AAA / ICRA AAA STABLE","16-Dec-2033"
"714NHAI26","N7","Regular","7.14","1,000.00","1,005.01","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2026"
"901HUDCO34","NE","Regular","-","-","1,296.50","-","-","-",,,"13-Jan-2034"
"930SFL28","YP","Regular","9.30","1,000.00","1,044.00","-","-","-",,"CRISIL AA+ STABLE /  IND AA+ STABLE","02-Nov-2028"
"IIFLZC25","ND","Regular","-","1,000.00","1,736.70","-","-","-",,"CRISIL AA STABLE / ICRA AA STABLE / BWR AA+ STABLE","06-Jun-2025"
"711NTPC25A","N8","Regular","7.11","1,000.00","1,039.00","-","-","-",,"CRISIL AAA / CARE AAA / ICRA AAA STABLE","05-Oct-2025"
"980SCL33","NX",,"-","-","911.00","-","-","-",,,"-"
"1025SFIL26","NT",,"-","-","450.00","-","-","-",,,"-"
"10IFSL26","N7","Regular","10.00","1,000.00","960.30","-","-","-",,"CRISIL A+/Stable","02-May-2026"
"SCL190325A","N1",,"-","-","-","-","-","-",,,"-"
"SCLZC25E","Y4",,"-","-","-","-","-","-",,,"-"
"971SCL30A","N1",,"-","-","-","-","-","-",,,"-"
"948SCL28","N1",,"-","-","-","-","-","-",,,"-"
"SCL19325A","N1",,"-","-","970.00","-","-","-",,,"-"
"81ABCL33","N4",,"-","-","-","-","-","-",,,"-"
"SCL190325","N1",,"-","-","-","-","-","-",,,"-"
"ABCL26","N3",,"-","-","-","-","-","-",,,"-"
"889SCL28","NU",,"-","-","943.32","-","-","-",,,"-"
"835SCL23A","YH",,"-","-","-","-","-","-",,,"-"
"M&MFIN","N3","Regular","-","-","2,154.00","-","-","-",,,"06-Jun-2026"
"851HUDCO28","NB","Regular","-","-","1,130.00","-","-","-",,,"25-Oct-2028"
"CIFCZC26A","N3","Regular","-","1,000.00","1,154.03","-","-","-",,"ICRA AA+","04-Jun-2026"
"855IREDA34","N3","Regular","8.55","1,000.00","1,245.72","-","-","-",,"CARE AAA (SO) / BWR AAA (SO) STABLE","13-Mar-2034"
"739NHAI26","N8","Regular","7.39","1,000.00","1,015.90","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","11-Jan-2026"
"9PCHFL31A","NA","Regular","9.00","1,000.00","1,050.00","-","-","-",,"CARE AA / ICRA AA ","23-Jul-2031"
"IIFLHF29","NE","Regular","-","1,000.00","1,210.00","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2029"
"NIDOZC26","N7","Regular","-","1,000.00","2,235.00","-","-","-",,"CARE AA Stable / ICRA AA Stable / BWR AA+ stable","19-Jul-2026"
"1060ECL29","NS","Regular","10.60","1,000.00","999.00","-","-","-",,"CRISIL AA STABLE / ICRA AA","04-Jan-2029"
"840IRFC29","N8","Regular","8.40","1,000.00","1,099.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","18-Feb-2029"
"846REC28","N6","Regular","8.46","1,000.00","1,121.00","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA / IND AAA","24-Sep-2028"
"910CAGL25","N7","Regular","9.10","1,000.00","995.80","-","-","-",,"AA-/Stable","07-Sep-2025"
"IIFLHFZC27","NB","Regular","-","1,000.00","1,235.65","-","-","-",,"CRISIL AA Stable / BWR AA+  Negative","03-Jan-2027"
"1015SCFL29","YY",,"-","-","945.00","-","-","-",,,"-"
"SCLZC26","NB",,"-","-","2,030.00","-","-","-",,,"-"
"1003IIFL29","NC","Regular","10.03","1,000.00","1,000.00","-","-","-",,"CRISIL AA-/ACUITE AA ","21-Jun-2029"
"956AEL29","N6","Regular","9.56","1,000.00","1,048.00","-","-","-",,"CARE A+","12-Sep-2029"
"99AEL29","N7","Regular","9.90","1,000.00","1,091.00","-","-","-",,"CARE A+","12-Sep-2029"
"965SCL25B","Y1",,"-","-","987.30","-","-","-",,,"-"
"0SCL27","YW",,"-","-","1,050.00","-","-","-",,,"-"
"892PFCL33","N8","Regular","-","-","1,278.00","-","-","-",,,"16-Nov-2033"
"1035UCL26","NA","Regular","10.35","1,000.00","740.00","-","-","-",,"FITCH A/Stable","27-Feb-2026"
"704IRFC28","N6","Regular","7.04","1,000.00","1,055.10","-","-","-",,"CRISIL AAA STABLE / CARE AAA / ICRA AAA","23-Mar-2028"
"743REC35","NH","Regular","-","-","1,154.55","-","-","-",,,"05-Nov-2035"
"769HUDCO31","N9","Regular","-","-","1,128.80","0.20","-","-",,,"15-Mar-2031"
"860CIFCL28","NG","Regular","8.60","1,000.00","1,011.00","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2028"
"CIFCZC26","NF","Regular","-","1,000.00","1,087.13","-","-","-",,"FITCH AA+ Stable/ ICRA AA+ Stable","07-Dec-2026"
"1003SFIL28","NX",,"-","-","748.70","-","-","-",,,"-"
"99SCL27V","N1","Regular","9.90","1,000.00","948.78","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2027"
"1025SCL34Z","N1","Regular","10.25","1,000.00","990.00","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2034"
"IHF261224A","N1","Regular","-","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & Ind-RA AA/ Stable","26-Dec-2029"
"94SCL27U","N1","Regular","9.40","1,000.00","-","-","-","-",,"CRISIL AA/ Stable & ICRA AA/ Stable","27-Dec-2027"
"9SCL26B","ND",,"-","-","-","-","-","-",,,"-"
"925SCL26A","YN",,"-","-","-","-","-","-",,,"-"
"78ABCL33","N1",,"-","-","-","-","-","-",,,"-"
"795IGT31","NI","Regular","7.95","1,000.00","-","-","-","-",,"IND AAA Stable / CRISIL AAA Stable","06-May-2031"
"935IIFL28","NZ",,"-","-","-","-","-","-",,,"-"
"ABCL28","N6",,"-","-","-","-","-","-",,,"-"
